IDENTIFICADOR;DATA;DERIVATIVO;PARTICIPANTE;LONGCONTRACTS;LONG_;SHORTCONTRACTS;SHORT_;SALDO
22092011_Dollar_Individuals;22/09/2011;Dollar;Individuals;2.0;100.0;2.0;100.0;0.0
22092011_Dollar_Total;22/09/2011;Dollar;Total;2.0;100.0;2.0;100.0;0.0
23092011_Dollar_Individuals;23/09/2011;Dollar;Individuals;2.0;100.0;2.0;100.0;0.0
23092011_Dollar_Total;23/09/2011;Dollar;Total;2.0;100.0;2.0;100.0;0.0
26092011_Dollar_Corporations;26/09/2011;Dollar;Corporations;0.0;0.0;2.0;33.33;-2.0
26092011_Dollar_Individuals;26/09/2011;Dollar;Individuals;6.0;100.0;4.0;66.67;2.0
26092011_Dollar_Total;26/09/2011;Dollar;Total;6.0;100.0;6.0;100.0;0.0
27092011_Dollar_Institutional Investors;27/09/2011;Dollar;Institutional Investors;5.0;16.13;0.0;0.0;5.0
27092011_Dollar_Domestic;27/09/2011;Dollar;Domestic;5.0;16.13;0.0;0.0;5.0
27092011_Dollar_Corporations;27/09/2011;Dollar;Corporations;0.0;0.0;22.0;70.97;-22.0
27092011_Dollar_Individuals;27/09/2011;Dollar;Individuals;26.0;83.87;9.0;29.03;17.0
27092011_Dollar_Total;27/09/2011;Dollar;Total;31.0;100.0;31.0;100.0;0.0
28092011_Dollar_Institutional Investors;28/09/2011;Dollar;Institutional Investors;5.0;1.69;0.0;0.0;5.0
28092011_Dollar_Domestic;28/09/2011;Dollar;Domestic;5.0;1.69;0.0;0.0;5.0
28092011_Dollar_Corporations;28/09/2011;Dollar;Corporations;5.0;1.69;68.0;23.05;-63.0
28092011_Dollar_Individuals;28/09/2011;Dollar;Individuals;285.0;96.61;227.0;76.95;58.0
28092011_Dollar_Total;28/09/2011;Dollar;Total;295.0;100.0;295.0;100.0;0.0
29092011_Dollar_Financial Institutions;29/09/2011;Dollar;Financial Institutions;0.0;0.0;18.0;2.55;-18.0
29092011_Dollar_Brokers & Dealers;29/09/2011;Dollar;Brokers & Dealers;0.0;0.0;12.0;1.7;-12.0
29092011_Dollar_Other;29/09/2011;Dollar;Other;0.0;0.0;6.0;0.85;-6.0
29092011_Dollar_Institutional Investors;29/09/2011;Dollar;Institutional Investors;47.0;6.65;77.0;10.89;-30.0
29092011_Dollar_Domestic;29/09/2011;Dollar;Domestic;47.0;6.65;77.0;10.89;-30.0
29092011_Dollar_Nonresident Investors;29/09/2011;Dollar;Nonresident Investors;13.0;1.84;0.0;0.0;13.0
29092011_Dollar_Nonresident investors - RES.2689;29/09/2011;Dollar;Nonresident investors - RES.2689;13.0;1.84;0.0;0.0;13.0
29092011_Dollar_Corporations;29/09/2011;Dollar;Corporations;66.0;9.34;164.0;23.2;-98.0
29092011_Dollar_Individuals;29/09/2011;Dollar;Individuals;581.0;82.18;448.0;63.37;133.0
29092011_Dollar_Total;29/09/2011;Dollar;Total;707.0;100.0;707.0;100.0;0.0
30092011_Dollar_Financial Institutions;30/09/2011;Dollar;Financial Institutions;142.0;8.69;51.0;3.12;91.0
30092011_Dollar_Banks;30/09/2011;Dollar;Banks;124.0;7.58;0.0;0.0;124.0
30092011_Dollar_Brokers & Dealers;30/09/2011;Dollar;Brokers & Dealers;18.0;1.1;45.0;2.75;-27.0
30092011_Dollar_Other;30/09/2011;Dollar;Other;0.0;0.0;6.0;0.37;-6.0
30092011_Dollar_Institutional Investors;30/09/2011;Dollar;Institutional Investors;707.0;43.24;417.0;25.5;290.0
30092011_Dollar_Domestic;30/09/2011;Dollar;Domestic;707.0;43.24;417.0;25.5;290.0
30092011_Dollar_Nonresident Investors;30/09/2011;Dollar;Nonresident Investors;13.0;0.8;62.0;3.79;-49.0
30092011_Dollar_Nonresident investors - RES.2689;30/09/2011;Dollar;Nonresident investors - RES.2689;13.0;0.8;62.0;3.79;-49.0
30092011_Dollar_Corporations;30/09/2011;Dollar;Corporations;127.0;7.77;232.0;14.19;-105.0
30092011_Dollar_Individuals;30/09/2011;Dollar;Individuals;646.0;39.51;873.0;53.39;-227.0
30092011_Dollar_Total;30/09/2011;Dollar;Total;1635.0;100.0;1635.0;100.0;0.0
03102011_Dollar_Financial Institutions;03/10/2011;Dollar;Financial Institutions;977.0;34.41;29.0;1.02;948.0
03102011_Dollar_Banks;03/10/2011;Dollar;Banks;664.0;23.39;2.0;0.07;662.0
03102011_Dollar_Brokers & Dealers;03/10/2011;Dollar;Brokers & Dealers;263.0;9.26;21.0;0.74;242.0
03102011_Dollar_Other;03/10/2011;Dollar;Other;50.0;1.76;6.0;0.21;44.0
03102011_Dollar_Institutional Investors;03/10/2011;Dollar;Institutional Investors;1205.0;42.44;515.0;18.14;690.0
03102011_Dollar_Domestic;03/10/2011;Dollar;Domestic;1205.0;42.44;515.0;18.14;690.0
03102011_Dollar_Nonresident Investors;03/10/2011;Dollar;Nonresident Investors;33.0;1.16;132.0;4.65;-99.0
03102011_Dollar_Nonresident investors - RES.2689;03/10/2011;Dollar;Nonresident investors - RES.2689;33.0;1.16;132.0;4.65;-99.0
03102011_Dollar_Corporations;03/10/2011;Dollar;Corporations;196.0;6.9;208.0;7.33;-12.0
03102011_Dollar_Individuals;03/10/2011;Dollar;Individuals;428.0;15.08;1955.0;68.86;-1527.0
03102011_Dollar_Total;03/10/2011;Dollar;Total;2839.0;100.0;2839.0;100.0;0.0
04102011_Dollar_Financial Institutions;04/10/2011;Dollar;Financial Institutions;1130.0;34.64;27.0;0.83;1103.0
04102011_Dollar_Banks;04/10/2011;Dollar;Banks;753.0;23.08;2.0;0.06;751.0
04102011_Dollar_Brokers & Dealers;04/10/2011;Dollar;Brokers & Dealers;177.0;5.43;19.0;0.58;158.0
04102011_Dollar_Other;04/10/2011;Dollar;Other;200.0;6.13;6.0;0.18;194.0
04102011_Dollar_Institutional Investors;04/10/2011;Dollar;Institutional Investors;1239.0;37.98;957.0;29.34;282.0
04102011_Dollar_Domestic;04/10/2011;Dollar;Domestic;1239.0;37.98;957.0;29.34;282.0
04102011_Dollar_Nonresident Investors;04/10/2011;Dollar;Nonresident Investors;157.0;4.81;56.0;1.72;101.0
04102011_Dollar_Nonresident investors - RES.2689;04/10/2011;Dollar;Nonresident investors - RES.2689;157.0;4.81;56.0;1.72;101.0
04102011_Dollar_Corporations;04/10/2011;Dollar;Corporations;199.0;6.1;211.0;6.47;-12.0
04102011_Dollar_Individuals;04/10/2011;Dollar;Individuals;537.0;16.46;2011.0;61.65;-1474.0
04102011_Dollar_Total;04/10/2011;Dollar;Total;3262.0;100.0;3262.0;100.0;0.0
05102011_Dollar_Financial Institutions;05/10/2011;Dollar;Financial Institutions;1073.0;37.03;9.0;0.31;1064.0
05102011_Dollar_Banks;05/10/2011;Dollar;Banks;852.0;29.4;0.0;0.0;852.0
05102011_Dollar_Brokers & Dealers;05/10/2011;Dollar;Brokers & Dealers;221.0;7.63;3.0;0.1;218.0
05102011_Dollar_Other;05/10/2011;Dollar;Other;0.0;0.0;6.0;0.21;-6.0
05102011_Dollar_Institutional Investors;05/10/2011;Dollar;Institutional Investors;777.0;26.81;586.0;20.22;191.0
05102011_Dollar_Domestic;05/10/2011;Dollar;Domestic;777.0;26.81;586.0;20.22;191.0
05102011_Dollar_Nonresident Investors;05/10/2011;Dollar;Nonresident Investors;257.0;8.87;358.0;12.35;-101.0
05102011_Dollar_Nonresident investors - RES.2689;05/10/2011;Dollar;Nonresident investors - RES.2689;257.0;8.87;358.0;12.35;-101.0
05102011_Dollar_Corporations;05/10/2011;Dollar;Corporations;220.0;7.59;215.0;7.42;5.0
05102011_Dollar_Individuals;05/10/2011;Dollar;Individuals;571.0;19.7;1730.0;59.7;-1159.0
05102011_Dollar_Total;05/10/2011;Dollar;Total;2898.0;100.0;2898.0;100.0;0.0
06102011_Dollar_Financial Institutions;06/10/2011;Dollar;Financial Institutions;1397.0;37.23;14.0;0.37;1383.0
06102011_Dollar_Banks;06/10/2011;Dollar;Banks;1038.0;27.67;0.0;0.0;1038.0
06102011_Dollar_Brokers & Dealers;06/10/2011;Dollar;Brokers & Dealers;359.0;9.57;8.0;0.21;351.0
06102011_Dollar_Other;06/10/2011;Dollar;Other;0.0;0.0;6.0;0.16;-6.0
06102011_Dollar_Institutional Investors;06/10/2011;Dollar;Institutional Investors;606.0;16.15;1692.0;45.1;-1086.0
06102011_Dollar_Domestic;06/10/2011;Dollar;Domestic;606.0;16.15;1692.0;45.1;-1086.0
06102011_Dollar_Nonresident Investors;06/10/2011;Dollar;Nonresident Investors;122.0;3.25;121.0;3.22;1.0
06102011_Dollar_Nonresident investors - RES.2689;06/10/2011;Dollar;Nonresident investors - RES.2689;122.0;3.25;121.0;3.22;1.0
06102011_Dollar_Corporations;06/10/2011;Dollar;Corporations;242.0;6.45;185.0;4.93;57.0
06102011_Dollar_Individuals;06/10/2011;Dollar;Individuals;1385.0;36.91;1740.0;46.38;-355.0
06102011_Dollar_Total;06/10/2011;Dollar;Total;3752.0;100.0;3752.0;100.0;0.0
07102011_Dollar_Financial Institutions;07/10/2011;Dollar;Financial Institutions;1544.0;34.27;12.0;0.27;1532.0
07102011_Dollar_Banks;07/10/2011;Dollar;Banks;947.0;21.02;0.0;0.0;947.0
07102011_Dollar_Brokers & Dealers;07/10/2011;Dollar;Brokers & Dealers;597.0;13.25;6.0;0.13;591.0
07102011_Dollar_Other;07/10/2011;Dollar;Other;0.0;0.0;6.0;0.13;-6.0
07102011_Dollar_Institutional Investors;07/10/2011;Dollar;Institutional Investors;964.0;21.39;2206.0;48.96;-1242.0
07102011_Dollar_Domestic;07/10/2011;Dollar;Domestic;964.0;21.39;2206.0;48.96;-1242.0
07102011_Dollar_Nonresident Investors;07/10/2011;Dollar;Nonresident Investors;292.0;6.48;128.0;2.84;164.0
07102011_Dollar_Nonresident investors - RES.2689;07/10/2011;Dollar;Nonresident investors - RES.2689;292.0;6.48;128.0;2.84;164.0
07102011_Dollar_Corporations;07/10/2011;Dollar;Corporations;237.0;5.26;188.0;4.17;49.0
07102011_Dollar_Individuals;07/10/2011;Dollar;Individuals;1469.0;32.6;1972.0;43.76;-503.0
07102011_Dollar_Total;07/10/2011;Dollar;Total;4506.0;100.0;4506.0;100.0;0.0
10102011_Dollar_Financial Institutions;10/10/2011;Dollar;Financial Institutions;1516.0;31.61;11.0;0.23;1505.0
10102011_Dollar_Banks;10/10/2011;Dollar;Banks;891.0;18.58;0.0;0.0;891.0
10102011_Dollar_Brokers & Dealers;10/10/2011;Dollar;Brokers & Dealers;625.0;13.03;5.0;0.1;620.0
10102011_Dollar_Other;10/10/2011;Dollar;Other;0.0;0.0;6.0;0.13;-6.0
10102011_Dollar_Institutional Investors;10/10/2011;Dollar;Institutional Investors;1308.0;27.27;2350.0;49.0;-1042.0
10102011_Dollar_Domestic;10/10/2011;Dollar;Domestic;1308.0;27.27;2350.0;49.0;-1042.0
10102011_Dollar_Nonresident Investors;10/10/2011;Dollar;Nonresident Investors;302.0;6.3;114.0;2.38;188.0
10102011_Dollar_Nonresident investors - RES.2689;10/10/2011;Dollar;Nonresident investors - RES.2689;302.0;6.3;114.0;2.38;188.0
10102011_Dollar_Corporations;10/10/2011;Dollar;Corporations;256.0;5.34;213.0;4.44;43.0
10102011_Dollar_Individuals;10/10/2011;Dollar;Individuals;1414.0;29.48;2108.0;43.95;-694.0
10102011_Dollar_Total;10/10/2011;Dollar;Total;4796.0;100.0;4796.0;100.0;0.0
11102011_Dollar_Financial Institutions;11/10/2011;Dollar;Financial Institutions;1537.0;30.89;22.0;0.44;1515.0
11102011_Dollar_Banks;11/10/2011;Dollar;Banks;937.0;18.83;11.0;0.22;926.0
11102011_Dollar_Brokers & Dealers;11/10/2011;Dollar;Brokers & Dealers;600.0;12.06;5.0;0.1;595.0
11102011_Dollar_Other;11/10/2011;Dollar;Other;0.0;0.0;6.0;0.12;-6.0
11102011_Dollar_Institutional Investors;11/10/2011;Dollar;Institutional Investors;1004.0;20.18;2357.0;47.37;-1353.0
11102011_Dollar_Domestic;11/10/2011;Dollar;Domestic;1004.0;20.18;2357.0;47.37;-1353.0
11102011_Dollar_Nonresident Investors;11/10/2011;Dollar;Nonresident Investors;417.0;8.38;262.0;5.27;155.0
11102011_Dollar_Nonresident investors - RES.2689;11/10/2011;Dollar;Nonresident investors - RES.2689;417.0;8.38;262.0;5.27;155.0
11102011_Dollar_Corporations;11/10/2011;Dollar;Corporations;303.0;6.09;220.0;4.42;83.0
11102011_Dollar_Individuals;11/10/2011;Dollar;Individuals;1715.0;34.47;2115.0;42.5;-400.0
11102011_Dollar_Total;11/10/2011;Dollar;Total;4976.0;100.0;4976.0;100.0;0.0
13102011_Dollar_Financial Institutions;13/10/2011;Dollar;Financial Institutions;1529.0;30.32;36.0;0.71;1493.0
13102011_Dollar_Banks;13/10/2011;Dollar;Banks;927.0;18.38;25.0;0.5;902.0
13102011_Dollar_Brokers & Dealers;13/10/2011;Dollar;Brokers & Dealers;602.0;11.94;5.0;0.1;597.0
13102011_Dollar_Other;13/10/2011;Dollar;Other;0.0;0.0;6.0;0.12;-6.0
13102011_Dollar_Institutional Investors;13/10/2011;Dollar;Institutional Investors;757.0;15.01;2295.0;45.51;-1538.0
13102011_Dollar_Domestic;13/10/2011;Dollar;Domestic;757.0;15.01;2295.0;45.51;-1538.0
13102011_Dollar_Nonresident Investors;13/10/2011;Dollar;Nonresident Investors;497.0;9.86;394.0;7.81;103.0
13102011_Dollar_Nonresident investors - RES.2689;13/10/2011;Dollar;Nonresident investors - RES.2689;497.0;9.86;394.0;7.81;103.0
13102011_Dollar_Corporations;13/10/2011;Dollar;Corporations;368.0;7.3;205.0;4.07;163.0
13102011_Dollar_Individuals;13/10/2011;Dollar;Individuals;1892.0;37.52;2113.0;41.9;-221.0
13102011_Dollar_Total;13/10/2011;Dollar;Total;5043.0;100.0;5043.0;100.0;0.0
14102011_Dollar_Financial Institutions;14/10/2011;Dollar;Financial Institutions;1215.0;22.73;45.0;0.84;1170.0
14102011_Dollar_Banks;14/10/2011;Dollar;Banks;762.0;14.26;21.0;0.39;741.0
14102011_Dollar_Brokers & Dealers;14/10/2011;Dollar;Brokers & Dealers;453.0;8.48;18.0;0.34;435.0
14102011_Dollar_Other;14/10/2011;Dollar;Other;0.0;0.0;6.0;0.11;-6.0
14102011_Dollar_Institutional Investors;14/10/2011;Dollar;Institutional Investors;889.0;16.63;2370.0;44.34;-1481.0
14102011_Dollar_Domestic;14/10/2011;Dollar;Domestic;889.0;16.63;2370.0;44.34;-1481.0
14102011_Dollar_Nonresident Investors;14/10/2011;Dollar;Nonresident Investors;697.0;13.04;559.0;10.46;138.0
14102011_Dollar_Nonresident investors - RES.2689;14/10/2011;Dollar;Nonresident investors - RES.2689;697.0;13.04;559.0;10.46;138.0
14102011_Dollar_Corporations;14/10/2011;Dollar;Corporations;409.0;7.65;186.0;3.48;223.0
14102011_Dollar_Individuals;14/10/2011;Dollar;Individuals;2135.0;39.94;2185.0;40.88;-50.0
14102011_Dollar_Total;14/10/2011;Dollar;Total;5345.0;100.0;5345.0;100.0;0.0
17102011_Dollar_Financial Institutions;17/10/2011;Dollar;Financial Institutions;1260.0;20.04;27.0;0.43;1233.0
17102011_Dollar_Banks;17/10/2011;Dollar;Banks;921.0;14.65;12.0;0.19;909.0
17102011_Dollar_Brokers & Dealers;17/10/2011;Dollar;Brokers & Dealers;339.0;5.39;9.0;0.14;330.0
17102011_Dollar_Other;17/10/2011;Dollar;Other;0.0;0.0;6.0;0.1;-6.0
17102011_Dollar_Institutional Investors;17/10/2011;Dollar;Institutional Investors;1228.0;19.53;2448.0;38.94;-1220.0
17102011_Dollar_Domestic;17/10/2011;Dollar;Domestic;1228.0;19.53;2448.0;38.94;-1220.0
17102011_Dollar_Nonresident Investors;17/10/2011;Dollar;Nonresident Investors;772.0;12.28;1191.0;18.94;-419.0
17102011_Dollar_Nonresident investors - RES.2689;17/10/2011;Dollar;Nonresident investors - RES.2689;772.0;12.28;1191.0;18.94;-419.0
17102011_Dollar_Corporations;17/10/2011;Dollar;Corporations;323.0;5.14;201.0;3.2;122.0
17102011_Dollar_Individuals;17/10/2011;Dollar;Individuals;2704.0;43.01;2420.0;38.49;284.0
17102011_Dollar_Total;17/10/2011;Dollar;Total;6287.0;100.0;6287.0;100.0;0.0
18102011_Dollar_Financial Institutions;18/10/2011;Dollar;Financial Institutions;1420.0;22.98;36.0;0.58;1384.0
18102011_Dollar_Banks;18/10/2011;Dollar;Banks;960.0;15.54;12.0;0.19;948.0
18102011_Dollar_Brokers & Dealers;18/10/2011;Dollar;Brokers & Dealers;460.0;7.44;18.0;0.29;442.0
18102011_Dollar_Other;18/10/2011;Dollar;Other;0.0;0.0;6.0;0.1;-6.0
18102011_Dollar_Institutional Investors;18/10/2011;Dollar;Institutional Investors;877.0;14.19;2448.0;39.62;-1571.0
18102011_Dollar_Domestic;18/10/2011;Dollar;Domestic;877.0;14.19;2448.0;39.62;-1571.0
18102011_Dollar_Nonresident Investors;18/10/2011;Dollar;Nonresident Investors;879.0;14.23;1147.0;18.56;-268.0
18102011_Dollar_Nonresident investors - RES.2689;18/10/2011;Dollar;Nonresident investors - RES.2689;879.0;14.23;1147.0;18.56;-268.0
18102011_Dollar_Corporations;18/10/2011;Dollar;Corporations;346.0;5.6;215.0;3.48;131.0
18102011_Dollar_Individuals;18/10/2011;Dollar;Individuals;2657.0;43.0;2333.0;37.76;324.0
18102011_Dollar_Total;18/10/2011;Dollar;Total;6179.0;100.0;6179.0;100.0;0.0
19102011_Dollar_Financial Institutions;19/10/2011;Dollar;Financial Institutions;1521.0;22.94;14.0;0.21;1507.0
19102011_Dollar_Banks;19/10/2011;Dollar;Banks;901.0;13.59;0.0;0.0;901.0
19102011_Dollar_Brokers & Dealers;19/10/2011;Dollar;Brokers & Dealers;620.0;9.35;8.0;0.12;612.0
19102011_Dollar_Other;19/10/2011;Dollar;Other;0.0;0.0;6.0;0.09;-6.0
19102011_Dollar_Institutional Investors;19/10/2011;Dollar;Institutional Investors;1254.0;18.92;2564.0;38.68;-1310.0
19102011_Dollar_Domestic;19/10/2011;Dollar;Domestic;1254.0;18.92;2564.0;38.68;-1310.0
19102011_Dollar_Nonresident Investors;19/10/2011;Dollar;Nonresident Investors;797.0;12.02;1158.0;17.47;-361.0
19102011_Dollar_Nonresident investors - RES.2689;19/10/2011;Dollar;Nonresident investors - RES.2689;797.0;12.02;1158.0;17.47;-361.0
19102011_Dollar_Corporations;19/10/2011;Dollar;Corporations;340.0;5.13;237.0;3.58;103.0
19102011_Dollar_Individuals;19/10/2011;Dollar;Individuals;2717.0;40.99;2656.0;40.07;61.0
19102011_Dollar_Total;19/10/2011;Dollar;Total;6629.0;100.0;6629.0;100.0;0.0
20102011_Dollar_Financial Institutions;20/10/2011;Dollar;Financial Institutions;1323.0;19.26;55.0;0.8;1268.0
20102011_Dollar_Banks;20/10/2011;Dollar;Banks;736.0;10.71;21.0;0.31;715.0
20102011_Dollar_Brokers & Dealers;20/10/2011;Dollar;Brokers & Dealers;587.0;8.54;28.0;0.41;559.0
20102011_Dollar_Other;20/10/2011;Dollar;Other;0.0;0.0;6.0;0.09;-6.0
20102011_Dollar_Institutional Investors;20/10/2011;Dollar;Institutional Investors;1683.0;24.5;2631.0;38.3;-948.0
20102011_Dollar_Domestic;20/10/2011;Dollar;Domestic;1683.0;24.5;2631.0;38.3;-948.0
20102011_Dollar_Nonresident Investors;20/10/2011;Dollar;Nonresident Investors;882.0;12.84;1310.0;19.07;-428.0
20102011_Dollar_Nonresident investors - RES.2689;20/10/2011;Dollar;Nonresident investors - RES.2689;882.0;12.84;1310.0;19.07;-428.0
20102011_Dollar_Corporations;20/10/2011;Dollar;Corporations;342.0;4.98;232.0;3.38;110.0
20102011_Dollar_Individuals;20/10/2011;Dollar;Individuals;2640.0;38.43;2642.0;38.46;-2.0
20102011_Dollar_Total;20/10/2011;Dollar;Total;6870.0;100.0;6870.0;100.0;0.0
21102011_Dollar_Financial Institutions;21/10/2011;Dollar;Financial Institutions;1128.0;16.32;65.0;0.94;1063.0
21102011_Dollar_Banks;21/10/2011;Dollar;Banks;620.0;8.97;20.0;0.29;600.0
21102011_Dollar_Brokers & Dealers;21/10/2011;Dollar;Brokers & Dealers;508.0;7.35;39.0;0.56;469.0
21102011_Dollar_Other;21/10/2011;Dollar;Other;0.0;0.0;6.0;0.09;-6.0
21102011_Dollar_Institutional Investors;21/10/2011;Dollar;Institutional Investors;1724.0;24.95;2579.0;37.32;-855.0
21102011_Dollar_Domestic;21/10/2011;Dollar;Domestic;1724.0;24.95;2579.0;37.32;-855.0
21102011_Dollar_Nonresident Investors;21/10/2011;Dollar;Nonresident Investors;962.0;13.92;1271.0;18.39;-309.0
21102011_Dollar_Nonresident investors - RES.2689;21/10/2011;Dollar;Nonresident investors - RES.2689;962.0;13.92;1271.0;18.39;-309.0
21102011_Dollar_Corporations;21/10/2011;Dollar;Corporations;332.0;4.8;301.0;4.36;31.0
21102011_Dollar_Individuals;21/10/2011;Dollar;Individuals;2765.0;40.01;2695.0;39.0;70.0
21102011_Dollar_Total;21/10/2011;Dollar;Total;6911.0;100.0;6911.0;100.0;0.0
24102011_Dollar_Financial Institutions;24/10/2011;Dollar;Financial Institutions;1116.0;16.49;66.0;0.98;1050.0
24102011_Dollar_Banks;24/10/2011;Dollar;Banks;431.0;6.37;28.0;0.41;403.0
24102011_Dollar_Brokers & Dealers;24/10/2011;Dollar;Brokers & Dealers;685.0;10.12;32.0;0.47;653.0
24102011_Dollar_Other;24/10/2011;Dollar;Other;0.0;0.0;6.0;0.09;-6.0
24102011_Dollar_Institutional Investors;24/10/2011;Dollar;Institutional Investors;1420.0;20.98;2790.0;41.22;-1370.0
24102011_Dollar_Domestic;24/10/2011;Dollar;Domestic;1420.0;20.98;2790.0;41.22;-1370.0
24102011_Dollar_Nonresident Investors;24/10/2011;Dollar;Nonresident Investors;1212.0;17.91;963.0;14.23;249.0
24102011_Dollar_Nonresident investors - RES.2689;24/10/2011;Dollar;Nonresident investors - RES.2689;1212.0;17.91;963.0;14.23;249.0
24102011_Dollar_Corporations;24/10/2011;Dollar;Corporations;382.0;5.64;252.0;3.72;130.0
24102011_Dollar_Individuals;24/10/2011;Dollar;Individuals;2638.0;38.98;2697.0;39.85;-59.0
24102011_Dollar_Total;24/10/2011;Dollar;Total;6768.0;100.0;6768.0;100.0;0.0
25102011_Dollar_Financial Institutions;25/10/2011;Dollar;Financial Institutions;955.0;14.06;56.0;0.82;899.0
25102011_Dollar_Banks;25/10/2011;Dollar;Banks;263.0;3.87;28.0;0.41;235.0
25102011_Dollar_Brokers & Dealers;25/10/2011;Dollar;Brokers & Dealers;692.0;10.19;22.0;0.32;670.0
25102011_Dollar_Other;25/10/2011;Dollar;Other;0.0;0.0;6.0;0.09;-6.0
25102011_Dollar_Institutional Investors;25/10/2011;Dollar;Institutional Investors;1618.0;23.82;2918.0;42.96;-1300.0
25102011_Dollar_Domestic;25/10/2011;Dollar;Domestic;1618.0;23.82;2918.0;42.96;-1300.0
25102011_Dollar_Nonresident Investors;25/10/2011;Dollar;Nonresident Investors;1546.0;22.76;254.0;3.74;1292.0
25102011_Dollar_Nonresident investors - RES.2689;25/10/2011;Dollar;Nonresident investors - RES.2689;1546.0;22.76;254.0;3.74;1292.0
25102011_Dollar_Corporations;25/10/2011;Dollar;Corporations;366.0;5.39;302.0;4.45;64.0
25102011_Dollar_Individuals;25/10/2011;Dollar;Individuals;2307.0;33.97;3262.0;48.03;-955.0
25102011_Dollar_Total;25/10/2011;Dollar;Total;6792.0;100.0;6792.0;100.0;0.0
26102011_Dollar_Financial Institutions;26/10/2011;Dollar;Financial Institutions;572.0;8.5;44.0;0.65;528.0
26102011_Dollar_Banks;26/10/2011;Dollar;Banks;72.0;1.07;23.0;0.34;49.0
26102011_Dollar_Brokers & Dealers;26/10/2011;Dollar;Brokers & Dealers;500.0;7.43;15.0;0.22;485.0
26102011_Dollar_Other;26/10/2011;Dollar;Other;0.0;0.0;6.0;0.09;-6.0
26102011_Dollar_Institutional Investors;26/10/2011;Dollar;Institutional Investors;1767.0;26.25;3168.0;47.06;-1401.0
26102011_Dollar_Domestic;26/10/2011;Dollar;Domestic;1767.0;26.25;3168.0;47.06;-1401.0
26102011_Dollar_Nonresident Investors;26/10/2011;Dollar;Nonresident Investors;1549.0;23.01;229.0;3.4;1320.0
26102011_Dollar_Nonresident investors - RES.2689;26/10/2011;Dollar;Nonresident investors - RES.2689;1549.0;23.01;229.0;3.4;1320.0
26102011_Dollar_Corporations;26/10/2011;Dollar;Corporations;372.0;5.53;294.0;4.37;78.0
26102011_Dollar_Individuals;26/10/2011;Dollar;Individuals;2472.0;36.72;2997.0;44.52;-525.0
26102011_Dollar_Total;26/10/2011;Dollar;Total;6732.0;100.0;6732.0;100.0;0.0
27102011_Dollar_Financial Institutions;27/10/2011;Dollar;Financial Institutions;288.0;3.84;69.0;0.92;219.0
27102011_Dollar_Banks;27/10/2011;Dollar;Banks;106.0;1.41;31.0;0.41;75.0
27102011_Dollar_Brokers & Dealers;27/10/2011;Dollar;Brokers & Dealers;182.0;2.43;32.0;0.43;150.0
27102011_Dollar_Other;27/10/2011;Dollar;Other;0.0;0.0;6.0;0.08;-6.0
27102011_Dollar_Institutional Investors;27/10/2011;Dollar;Institutional Investors;1555.0;20.75;4245.0;56.64;-2690.0
27102011_Dollar_Domestic;27/10/2011;Dollar;Domestic;1555.0;20.75;4245.0;56.64;-2690.0
27102011_Dollar_Nonresident Investors;27/10/2011;Dollar;Nonresident Investors;2176.0;29.03;232.0;3.1;1944.0
27102011_Dollar_Nonresident investors - RES.2689;27/10/2011;Dollar;Nonresident investors - RES.2689;2176.0;29.03;232.0;3.1;1944.0
27102011_Dollar_Corporations;27/10/2011;Dollar;Corporations;521.0;6.95;272.0;3.63;249.0
27102011_Dollar_Individuals;27/10/2011;Dollar;Individuals;2955.0;39.43;2677.0;35.72;278.0
27102011_Dollar_Total;27/10/2011;Dollar;Total;7495.0;100.0;7495.0;100.0;0.0
28102011_Dollar_Financial Institutions;28/10/2011;Dollar;Financial Institutions;656.0;8.57;76.0;0.99;580.0
28102011_Dollar_Banks;28/10/2011;Dollar;Banks;317.0;4.14;38.0;0.5;279.0
28102011_Dollar_Brokers & Dealers;28/10/2011;Dollar;Brokers & Dealers;339.0;4.43;32.0;0.42;307.0
28102011_Dollar_Other;28/10/2011;Dollar;Other;0.0;0.0;6.0;0.08;-6.0
28102011_Dollar_Institutional Investors;28/10/2011;Dollar;Institutional Investors;991.0;12.95;3385.0;44.22;-2394.0
28102011_Dollar_Domestic;28/10/2011;Dollar;Domestic;991.0;12.95;3385.0;44.22;-2394.0
28102011_Dollar_Nonresident Investors;28/10/2011;Dollar;Nonresident Investors;2251.0;29.41;441.0;5.76;1810.0
28102011_Dollar_Nonresident investors - RES.2689;28/10/2011;Dollar;Nonresident investors - RES.2689;2251.0;29.41;441.0;5.76;1810.0
28102011_Dollar_Corporations;28/10/2011;Dollar;Corporations;568.0;7.42;291.0;3.8;277.0
28102011_Dollar_Individuals;28/10/2011;Dollar;Individuals;3189.0;41.66;3462.0;45.23;-273.0
28102011_Dollar_Total;28/10/2011;Dollar;Total;7655.0;100.0;7655.0;100.0;0.0
31102011_Dollar_Financial Institutions;31/10/2011;Dollar;Financial Institutions;672.0;7.41;509.0;5.61;163.0
31102011_Dollar_Banks;31/10/2011;Dollar;Banks;333.0;3.67;460.0;5.07;-127.0
31102011_Dollar_Brokers & Dealers;31/10/2011;Dollar;Brokers & Dealers;339.0;3.74;43.0;0.47;296.0
31102011_Dollar_Other;31/10/2011;Dollar;Other;0.0;0.0;6.0;0.07;-6.0
